track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min;
0felKIf6OMxAzHIvyhwUvB,Miracle,1,27,False,Millows,41,2489,hypertechno,2FKcl18dz97JzzXyktVynO,Miracle,2025-05-29,1,single,2.2
3aD33slymVwdEcdbKUBnDu,cliché,1,53,False,mgk,78,5642925,,2zCyRKoQozz3iTdTi3o8mi,cliché,2025-05-23,1,single,2.93
1j15Ar0qGDzIR0v3CQv3JL,Gnarly,1,88,True,KATSEYE,82,5242034,k-pop,25oD4E4cwmG7SCQIoF3ez5,Gnarly,2025-04-30,1,single,2.28
3Q5b9lTrxvv6f8jLX4M6VJ,Amen,1,56,False,Shaboozey,75,1448613,,5Rqj746qniBVcnLT4QglB5,Amen,2025-04-24,1,single,3.29
72s177IslLyS9N7EKBTCp0,FREAKY,1,19,True,Daveedtheking,5,58,,5NNsNw2HRa4oxXfuV5LAqH,FREAKY,2025-04-19,1,single,2.58
1o2eTrTQChSdxbMQLBHLod,conversations,1,36,True,Chelan,35,11989,,1WmSgkrYCtEmO8k6rVaNXJ,conversations,2025-04-11,1,single,2.35
4AajxCEwGEsmHmT4H1TwjY,undressed,1,85,False,sombr,85,2789144,,19m6pwPmwNFSPV7wtHtg7D,undressed,2025-03-21,1,single,3.03
2jsTgVpKp7xi5LA3nwDxZL,Breakeven,1,45,False,Valentin,40,2158,,7AI6sCjsjFfeEqso7XI43p,Breakeven,2025-03-20,1,single,4.07
6Vt8jXXIHv8U6GwQWUoYJD,CLASSY,1,42,True,Cloud,31,10130,,30iCsi0MXESqsBDdN17aEB,CLASSY,2025-03-18,1,single,2.76
1iRIdATb1I276VdKK7JVAB,F.T.S.,11,63,True,JENNIE,81,12320084,k-pop,1vWMw6pu3err6qqZzI3RhH,Ruby,2025-03-07,15,album,2.54
104KjF0t9EnlFOoxGLxiSQ,Filter,12,65,True,JENNIE,81,12320084,k-pop,1vWMw6pu3err6qqZzI3RhH,Ruby,2025-03-07,15,album,2.52
0kHZ0qrGL9MohF9R8Uw77Y,Starlight,14,66,True,JENNIE,81,12328041,k-pop,1vWMw6pu3err6qqZzI3RhH,Ruby,2025-03-07,15,album,2.8
5DIZg9QqSdzgHmkZ2k2F1a,twin,15,62,False,JENNIE,81,12320084,k-pop,1vWMw6pu3err6qqZzI3RhH,Ruby,2025-03-07,15,album,3.48
1kUyOJb3fzUo8r0OCz5SQk,Mantra,7,79,True,JENNIE,81,12328041,k-pop,1vWMw6pu3err6qqZzI3RhH,Ruby,2025-03-07,15,album,2.27
2chbuybiy6aDDBC985tJcP,ZEN,9,70,True,JENNIE,81,12337033,k-pop,1vWMw6pu3err6qqZzI3RhH,Ruby,2025-03-07,15,album,3.35
1musbempyJAw5gfSKZHXP9,Anxiety,1,79,True,Doechii,76,3227707,,706mYHElAsR2MfcehZt2PA,Anxiety,2025-03-05,2,single,4.15
2nRYdAZpfHZ4TngoMZiRfr,Fancy,1,40,False,CADMIUM,47,74067,,3F1Rx20aGuLDJnTH2BdlrQ,Fancy,2025-01-24,1,single,2.7
5pOnmZnc4FsF9e04Etv5X3,Strangers,1,47,False,RIELL,52,78478,,0RapZmQPdoPuqODNb03SaX,Strangers,2025-01-17,1,single,2.85
7hGhnUEepGK4DBPMj7bc1Y,different,1,33,False,retz,40,9764,,1exUmzBCDp9VpRHLBwmNVT,different,2024-12-06,2,single,2.98
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,6,83,False,ROSÉ,78,13313690,k-pop,7kFyd5oyJdVX2pIi6P4iHE,rosie,2024-12-06,12,album,2.83
